dateff,mktrf,smb,hml,rf
20170131,0.0194,-0.0113,-0.0274,0.0004
20170228,0.0357,-0.0204,-0.0167,0.0004
20170331,0.0017,0.0113,-0.0333,0.0003
20170428,0.0109,0.0072,-0.0213,0.0005
20170531,0.0106,-0.0252,-0.0375,0.0006
20170630,0.0078,0.0223,0.0149,0.0006
20170731,0.0187,-0.0146,-0.0022,0.0007
20170831,0.0016,-0.0165,-0.0207,0.0009
20170929,0.0251,0.0445,0.0309,0.0009
20171031,0.0225,-0.0193,0.0022,0.0009
20171130,0.0312,-0.0056,-0.0005,0.0008
20171229,0.0106,-0.0132,0.0003,0.0009
20180131,0.0558,-0.0318,-0.0136,0.0011
20180228,-0.0365,0.0026,-0.0103,0.0011
20180329,-0.0235,0.0406,-0.0023,0.0012
20180430,0.0029,0.011,0.0048,0.0014
20180531,0.0265,0.0531,-0.0313,0.0014
20180629,0.0048,0.0113,-0.0233,0.0014
20180731,0.0319,-0.0225,0.0045,0.0016
20180831,0.0344,0.0114,-0.0398,0.0016
20180928,0.0006,-0.023,-0.017,0.0015
20181031,-0.0768,-0.0482,0.0343,0.0019
20181130,0.0169,-0.0068,0.0026,0.0018
20181231,-0.0955,-0.0242,-0.019,0.0019
20190131,0.0841,0.029,-0.0044,0.0021
20190228,0.034,0.0204,-0.0268,0.0018
20190329,0.011,-0.0298,-0.0405,0.0019
20190430,0.0396,-0.0174,0.0217,0.0021
20190531,-0.0694,-0.0134,-0.0237,0.0021
20190628,0.0693,0.0025,-0.0071,0.0018
20190731,0.0119,-0.0194,0.0042,0.0019
20190830,-0.0258,-0.0232,-0.0495,0.0016
20190930,0.0143,-0.0097,0.0683,0.0018
20191031,0.0206,0.0028,-0.0193,0.0015
20191129,0.0387,0.008,-0.0202,0.0012
20191231,0.0277,0.0072,0.0179,0.0014
20200131,-0.0011,-0.0313,-0.0624,0.0013
20200228,-0.0813,0.0103,-0.0379,0.0012
20200331,-0.1338,-0.0489,-0.1402,0.0012
20200430,0.1365,0.0247,-0.0118,0
20200529,0.0558,0.0245,-0.048,0.0001
20200630,0.0246,0.0269,-0.0204,0.0001
20200731,0.0577,-0.0227,-0.0146,0.0001
20200831,0.0763,-0.0022,-0.0293,0.0001
20200930,-0.0363,-0.0004,-0.0266,0.0001
20201030,-0.021,0.0439,0.0419,0.0001
20201130,0.1247,0.0574,0.0199,0.0001
20201231,0.0463,0.0483,-0.0156,0.0001
20210129,-0.0003,0.0718,0.0294,0
20210226,0.0278,0.0197,0.072,0
20210331,0.0308,-0.0237,0.0732,0
20210430,0.0493,-0.0313,-0.0099,0
20210528,0.0029,-0.0024,0.0703,0
20210630,0.0275,0.0175,-0.0781,0
20210730,0.0127,-0.0396,-0.0175,0
20210831,0.029,-0.0048,-0.0013,0
20210930,-0.0437,0.008,0.0509,0
20211029,0.0665,-0.0228,-0.0044,0
20211130,-0.0155,-0.0135,-0.0053,0
20211231,0.031,-0.0157,0.0323,0.0001